"Time","y","x_dfy","x_infl","x_svar","x_tms","x_tbl","x_dfr","x_dp","x_ltr","x_ep","x_bmr","x_ntis"
198311,0.0536174770614959,0.0121,0.002979146,0.001115356,0.0324,0.0864,0.0107,-3.14693204816182,-0.0132,-2.49122679389144,0.719474372,0.024744376
198312,0.02650055449504,0.012,0.001980198,0.000836303,0.03,0.0876,-0.0041,-3.15994947688196,0.0183,-2.490690169063,0.690819893,0.026636827
198401,0.0263825330848981,0.0118,0.000988142,0.000528114,0.0297,0.09,0.0026,-3.14683580091602,-0.0059,-2.46432324734569,0.700359118,0.027056897
198402,-0.00217925245171839,0.0145,0.005923001,0.000794606,0.029,0.089,0.0026,-3.13335465463981,0.0244,-2.42626024659901,0.722197644,0.030736005
198403,0.0519395556362012,0.0151,0.004906771,0.002019477,0.0308,0.0909,6e-04,-3.08951554124081,-0.0178,-2.35862803269802,0.763448031,0.026701748
198404,0.0427763278793967,0.0142,0.001953125,0.001354588,0.0301,0.0952,-0.0079,-3.09873625431757,-0.0156,-2.34480061152139,0.762475427,0.024104936
198405,-0.0217235017129705,0.015,0.004873294,0.001035528,0.0315,0.0969,0.0032,-3.09817435422103,-0.0105,-2.32992835697726,0.758658979,0.022681955
198406,0.0585525617139392,0.0146,0.002909796,0.00093305,0.0398,0.0983,0.0033,-3.03099298665537,-0.0516,-2.24881297373191,0.803910033,0.021514128
198407,0.0232559467995943,0.015,0.002901354,0.001675763,0.0387,0.0987,0.0049,-3.04237042671976,0.015,-2.24660245824311,0.784351819,0.001304065
198408,0.146896209651732,0.0171,0.003857281,0.000865658,0.0281,0.1012,-0.0107,-3.02260002317222,0.0693,-2.22263429286159,0.796391938,-0.001862142
198409,0.0322335056006112,0.0176,0.003842459,0.003126833,0.0223,0.1047,0.0041,-3.12046434392638,0.0266,-2.31635841692622,0.72542838,-0.003100834
198410,0.0347215535538157,0.0169,0.004784689,0.000943227,0.0198,0.1037,-0.0028,-3.11381637800687,0.0342,-2.30559986766214,0.736050915,-0.009492547
198411,0.0226500514660984,0.0131,0.002857143,0.001291848,0.0199,0.0974,0.0011,-3.10700395138124,0.0561,-2.30392864070381,0.735642466,-0.01352848
198412,0.0620272887444828,0.0119,0,0.00102029,0.0308,0.0861,0.0094,-3.08506937532044,0.0118,-2.2870985879183,0.747051996,-0.021877207
